Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen15_Ind1547,1001000100101011101001010100101000,22,28,29,15,6,3,131072,0,4.144219700941723
2,Gen17_Ind1764,1001000100101001101001010100101000,22,28,25,15,6,3,131072,0,3.9348881223171728
3,Gen18_Ind1819,1001000100101001101001010100101000,22,28,25,15,6,3,131072,0,3.9348881223171728
4,Gen15_Ind1593,1001000101001001001111110010001000,22,30,24,21,1,5,8192,0,3.887364019219378
5,Gen14_Ind1404,1001000011101010010001100011001000,22,24,26,23,9,6,8192,0,3.8577252317267114
6,Gen15_Ind1572,1001000011101110010001100011001000,22,24,7,23,9,6,8192,0,3.8577252317267114
7,Gen15_Ind1540,1110101110101011101110010101011000,-48,20,29,20,6,4,32768,0,3.854090236473893
8,Gen15_Ind1528,0111111110101011101100110011011000,13,28,29,18,8,6,32768,0,3.847481848286273
9,Gen14_Ind1468,1001000110111000101100110011011000,22,21,23,18,4,6,32768,0,3.793649614394809
10,Gen18_Ind1822,0111111110111010101001010011011000,13,11,27,15,5,6,32768,0,3.4592018947937992
11,Gen18_Ind1828,1001000100101000010100100011111100,22,28,22,26,9,6,65536,4,3.4420528930644747
12,Gen18_Ind1886,1001000110111101101000110010101000,22,20,18,14,4,5,131072,0,3.4378382110762855
13,Gen18_Ind1889,1001000100000001110100100011101100,22,26,9,26,9,6,131072,4,3.4083769354419946
14,Gen18_Ind1875,0011010100111000010100111011110101,-24,29,22,26,10,6,16384,5,3.3693506959538246
15,Gen18_Ind1882,1001000011101010010001010111001100,22,24,26,23,6,6,8192,4,3.361444533210125
16,Gen18_Ind1881,0111111101111011111010100001100000,13,27,29,8,9,4,65536,0,3.3408123003477264
17,Gen17_Ind1731,0111111110101011110100100011101101,13,27,29,26,9,6,131072,5,3.340773381799681
18,Gen18_Ind1852,1001000010101001110100101000010000,22,20,25,26,4,3,16384,0,3.332610213523445
19,Gen17_Ind1756,1000000101101011101000010010011000,14,21,29,14,5,5,32768,0,3.2893084071097602
20,Gen18_Ind1921,1001000101001101010111010101001101,22,30,8,29,6,4,8192,5,3.286593089480576
21,Gen18_Ind1824,0010011100111010011100111001110101,-31,29,26,9,9,4,16384,5,3.285622163033893
22,Gen18_Ind1918,1011000010101000001111000011101000,-35,20,22,21,1,6,131072,0,3.266596465936684
23,Gen18_Ind1849,1010101110011100111011111111001101,-26,15,14,7,5,6,8192,5,3.234623112925925
24,Gen18_Ind1858,1111101010101011001101101100101101,-25,20,28,19,4,3,131072,5,3.183160766799953
25,Gen18_Ind1897,1000000101010101010100000111101000,14,20,16,26,2,6,131072,0,3.171704884462362
26,Gen18_Ind1924,1100000110100010010100110011011000,9,28,10,26,6,6,32768,0,3.1670394753896844
27,Gen18_Ind1922,1001000100101001100111110010001000,22,28,25,13,8,5,8192,0,3.143300326008193
28,Gen18_Ind1901,0010111110100011110111110011011101,-27,25,13,29,3,6,32768,5,3.104850703684233
29,Gen18_Ind1837,0101101010000011101101110100011101,-5,18,13,19,6,3,32768,5,3.104409607054964
30,Gen18_Ind1910,1110101010011101010110101111101100,-3,19,21,28,7,6,131072,4,3.0764573098584393
31,Gen18_Ind1877,0111111111000011111000010111111000,13,22,13,30,6,6,65536,0,3.0727352444274745
32,Gen18_Ind1909,1001000100111101010100100010101000,22,29,14,26,9,5,131072,0,3.0637318183164033
33,Gen18_Ind1898,0110110100111000010100100011101000,4,29,22,26,9,6,131072,0,3.055956283190652
