Rank,Individual,Gene1,ctx_Gene1,den_Gene1,hash_Gene1,gamma_Gene1,mutations_Gene1,den_mut_Gene1,gamma_mut_Gene1,Fitness
1,Gen68_Ind8597,1000011110110000010011011,5,10,255,0.99,1,10,0.95,4.134837449737327
2,Gen72_Ind9106,1000011010110000010011011,5,10,32,0.99,1,10,0.95,4.134837449737327
3,Gen74_Ind9361,1000011110110000010011011,5,10,255,0.99,1,10,0.95,4.134837449737327
4,Gen48_Ind6010,1000011111110100010011010,5,10,64,0.6,1,10,0.9,4.134776964078371
5,Gen54_Ind6800,1000011100110100010011010,5,10,128,0.5,1,10,0.9,4.134776964078371
6,Gen56_Ind7111,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
7,Gen59_Ind7459,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
8,Gen60_Ind7531,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
9,Gen56_Ind7111,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
10,Gen60_Ind7618,1000011000101000010011010,5,10,0,0.9,1,10,0.9,4.134776964078371
11,Gen62_Ind7789,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
12,Gen60_Ind7531,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
13,Gen60_Ind7531,1000011100101000010011010,5,10,128,0.9,1,10,0.9,4.134776964078371
14,Gen74_Ind9309,1000011000101100010011010,5,10,0,0.95,1,10,0.9,4.134761842940132
15,Gen74_Ind9357,1000011111001000000001010,5,10,0,0.1,1,1,0.9,4.134576617972012
16,Gen74_Ind9295,1000011111101000010001010,5,10,255,0.9,1,9,0.9,4.13442920587789
17,Gen74_Ind9288,1000011100001000010111010,5,10,128,0.1,1,10,0.9,4.134172204802867
18,Gen73_Ind9255,1000011000110110110011010,5,10,0,0.7,3,10,0.9,4.134160867256038
19,Gen73_Ind9166,1000011100010100011011010,5,10,128,0.4,1,7,0.9,4.134141971482845
20,Gen74_Ind9364,1000011111100100011011010,5,10,255,0.8,1,3,0.9,4.13411551769056
21,Gen74_Ind9373,1000011111010100011011010,5,10,128,0.4,1,2,0.9,4.134089064236822
22,Gen72_Ind9057,1000011010111000000011010,5,10,32,0.3,1,2,0.9,4.134081506169363
23,Gen74_Ind9276,1000011100100000011011010,5,10,128,0.7,1,8,0.9,4.134077727145998
24,Gen74_Ind9296,1000011100001000010011010,5,10,128,0.1,1,10,0.9,4.134077727145998
25,Gen74_Ind9354,1000011101101000010011011,5,10,192,0.9,1,10,0.95,4.134077727145998
26,Gen74_Ind9310,1001011111010100010011010,5,10,255,0.4,1,10,0.9,4.134066390117353
27,Gen74_Ind9349,1010011100100000011011110,4,10,128,0.7,1,6,0.8,4.134055053150889
28,Gen74_Ind9312,1000011100101000001111010,5,10,128,0.9,1,8,0.9,4.134036158344958
29,Gen74_Ind9382,1000011000010100011011010,5,10,0,0.4,1,4,0.9,4.134028600470947
30,Gen74_Ind9379,1000011100100100000111010,5,10,128,0.8,1,4,0.9,4.134017263711744
31,Gen74_Ind9300,1000011100100100010011010,5,10,128,0.8,1,10,0.9,4.133960580848384
32,Gen74_Ind9371,1000011100100100010011010,5,10,128,0.8,1,10,0.9,4.133960580848384
33,Gen73_Ind9254,1000011000101000101111011,5,10,0,0.9,2,8,0.95,4.133272952599601
34,Gen74_Ind9298,1000011101101001010011010,5,10,192,0.9,3,10,0.9,4.132645974629318
35,Gen74_Ind9311,1000011000101000110011011,5,10,0,0.9,2,10,0.95,4.132585553068031
36,Gen73_Ind9208,1000011111101100110011010,5,10,128,0.95,2,10,0.9,4.132502476306046
37,Gen74_Ind9342,1000100000101000010011010,5,20,0,0.9,1,10,0.9,4.132207958335237
38,Gen74_Ind9368,1000011111101000010011001,5,10,0,0.9,1,10,0.8,4.131800233518918
39,Gen74_Ind9291,1000011110110100110011011,5,10,255,0.8,2,10,0.95,4.131547333561722
40,Gen74_Ind9287,1000011001110101010011010,5,10,16,0.6,3,10,0.9,4.1312038921510235
41,Gen74_Ind9297,1000011111101101011011010,5,10,255,0.95,3,8,0.9,4.1306529955373374
42,Gen74_Ind9313,1000011100111010000011010,5,10,128,0.95,5,2,0.9,4.1305737690693896
43,Gen74_Ind9359,1000011110001010000001010,5,10,255,0.1,5,1,0.9,4.130419097581202
44,Gen73_Ind9160,1000011100101010010011000,5,10,128,0.9,5,10,0.7,4.130136191905198
45,Gen73_Ind9160,1000011100101010010011000,5,10,128,0.9,5,10,0.7,4.130136191905198
46,Gen74_Ind9327,1000011000111000101111001,5,10,0,0.3,2,8,0.8,4.130075843709903
47,Gen74_Ind9355,1000100010100111101101010,5,20,32,0.8,1,7,0.9,4.12938196619975
48,Gen74_Ind9360,1000010110100001110011010,5,5,255,0.7,4,10,0.9,4.128895636740776
49,Gen74_Ind9301,1000010100100000000111010,5,5,128,0.7,1,4,0.9,4.1281192550847345
50,Gen73_Ind9140,1000101111110100010011010,5,50,16,0.1,1,10,0.9,4.127832896742454
51,Gen74_Ind9294,1000101000100100010011010,5,50,0,0.8,1,10,0.9,4.12767089580369
52,Gen74_Ind9352,1000110010110000000011010,5,100,32,0.99,1,2,0.9,4.122023890903192
53,Gen74_Ind9283,1000110100110100010011010,5,100,128,0.05,1,10,0.9,4.121911183538951
54,Gen74_Ind9304,1000011110110100110011000,5,10,255,0.9,2,10,0.7,4.12006741521853
55,Gen74_Ind9347,1000011001011000110011000,5,10,16,0.5,2,10,0.7,4.11969210448407
56,Gen74_Ind9341,1000011100101000010011000,5,10,128,0.9,1,10,0.7,4.118442812546671
57,Gen74_Ind9353,1000111110101000010011010,5,200,255,0.9,1,10,0.9,4.118259046748324
58,Gen74_Ind9279,1000111100110100010011010,5,200,128,0.7,1,10,0.9,4.118232795830131
59,Gen74_Ind9272,1000111100110100010011010,5,200,128,0.99,1,10,0.9,4.117932809102531
60,Gen74_Ind9333,1000111101010100010011010,5,200,192,0.4,1,10,0.9,4.117932809102531
61,Gen74_Ind9383,1000111100101000010011011,5,200,128,0.9,1,10,0.95,4.117835322825899
62,Gen74_Ind9299,1000111010110100110011010,5,200,32,0.2,2,10,0.9,4.114583428104569
63,Gen74_Ind9289,1000111110110100110011010,5,200,255,0.1,2,10,0.9,4.114557224024128
64,Gen74_Ind9338,1000001100101100011001011,5,2,128,0.95,1,5,0.95,4.108841491667833
65,Gen74_Ind9270,1000001001000000010001010,5,2,16,0.01,1,9,0.9,4.1086585816776795
66,Gen74_Ind9278,1000000100101000010011010,5,1,128,0.9,1,10,0.9,4.097349879185802
67,Gen74_Ind9330,1001010100100000010011010,5,5,128,0.7,1,10,0.9,4.0969824071893175
68,Gen74_Ind9375,1000001111110000010011000,5,2,16,0.99,1,10,0.7,4.09601022350791
69,Gen74_Ind9284,1000000110110100110001000,5,1,255,0.6,2,9,0.7,4.0905345513748195
70,Gen74_Ind9277,1000011011001100011011110,5,10,64,0.2,1,9,0.95,4.076953311283054
71,Gen74_Ind9314,1000000111110000010111110,5,1,192,0.99,1,5,0.8,4.074070237138626
72,Gen74_Ind9358,1000011110110100010110100,5,10,255,0.7,1,1,0.3,4.06903740279511
73,Gen74_Ind9328,1000010000001100000001110,5,5,0,0.2,1,1,0.4,4.068839715878164
74,Gen74_Ind9348,1000001100101100011000011,5,2,128,0.95,1,5,0.2,4.066055836066517
75,Gen74_Ind9280,1000111001001010100010000,5,200,16,0.1,1,2,0.01,4.065014233183317
76,Gen73_Ind9165,1001010100000100000011110,5,10,128,0.05,1,2,0.7,4.0647767493614095
77,Gen74_Ind9345,1000011000110110111110010,5,10,0,0.9,4,1,0.1,4.063151643545534
78,Gen74_Ind9322,1000011011101010000010000,5,10,64,0.9,5,2,0.01,4.061225112901734
79,Gen74_Ind9321,1001011111101100011010010,5,500,32,0.95,1,6,0.1,4.059318626122204
80,Gen74_Ind9266,1000011011101100010010010,5,10,64,0.95,1,10,0.1,4.058240413209643
81,Gen74_Ind9326,1000111011101000010010010,5,200,64,0.9,1,10,0.1,4.05694440208333
82,Gen74_Ind9337,1010001100100110110011010,3,2,128,0.8,5,10,0.9,3.706498283411998
83,Gen74_Ind9378,1100011110111100010011011,2,10,255,0.95,1,10,0.95,3.7027140985754055
84,Gen74_Ind9374,1010001000110000110011000,2,2,0,0.99,2,10,0.7,3.69246263240014
85,Gen74_Ind9265,1100001110010100110011110,5,2,255,0.4,2,10,0.1,3.6796612348379076
86,Gen74_Ind9323,1010111100110100010010010,2,200,128,0.9,1,10,0.1,3.6734444397513832
87,Gen74_Ind9267,1100011110101100011011110,5,10,255,0.95,1,7,0.5,3.2017029042964102
88,Gen74_Ind9334,1100011010110000000011010,4,10,32,0.99,1,2,0.9,3.197119514079713
89,Gen74_Ind9274,1011011110111100110011000,4,2,255,0.9,2,10,0.7,3.1832371146501566
90,Gen74_Ind9303,1100001100010000010111101,1,2,128,0.3,1,5,0.7,2.7954667955663135
91,Gen74_Ind9317,1010001110110000010011010,1,2,255,0.99,1,10,0.9,2.794183519828685
92,Gen74_Ind9346,1010011111001100010011010,3,10,255,0.2,1,10,0.9,2.7907677782440206
93,Gen74_Ind9369,0010101011110110000011011,2,50,64,0.01,5,2,0.95,2.7865806507266067
94,Gen74_Ind9318,1100111110110100110011011,3,200,255,0.5,2,10,0.95,2.785067097251756
95,Gen74_Ind9365,0000011010000100000011110,1,10,32,0.05,1,2,0.2,2.5869363146770543
96,Gen74_Ind9372,0001010100001000010111000,1,1,128,0.1,1,3,0.7,2.578854001062905
97,Gen74_Ind9377,0000010110011101000011011,1,5,255,0.6,3,2,0.95,2.573591423059632
98,Gen74_Ind9271,0001011110101100110011110,1,2,255,0.95,2,10,0.99,2.573471336419795
99,Gen74_Ind9306,0000011011100010000011010,1,10,64,0.7,5,2,0.9,2.5734171546538644
100,Gen74_Ind9302,1010111110110100110011010,4,200,255,0.9,2,10,0.9,2.57073727519169
