Rank,Individual,Gene1,quality_Gene1,lgwin_Gene1,lgblock_Gene1,mode_Gene1,Fitness
1,Gen5_Ind433,10111110001000,11,24,18,generic,3.915186873006694
2,Gen6_Ind568,10111110001000,11,24,18,generic,3.915186873006694
3,Gen6_Ind606,10111110001000,11,24,18,generic,3.915186873006694
4,Gen7_Ind711,10111101101001,11,23,21,text,3.915186873006694
5,Gen7_Ind730,10111110001000,11,24,18,generic,3.915186873006694
6,Gen7_Ind737,10111110001000,11,24,18,generic,3.915186873006694
7,Gen8_Ind774,10111110001000,11,24,18,generic,3.915186873006694
8,Gen8_Ind779,10111110001001,11,24,18,text,3.915186873006694
9,Gen8_Ind785,10111101001000,11,23,18,generic,3.915186873006694
10,Gen8_Ind847,10111110001001,11,24,18,text,3.915186873006694
11,Gen10_Ind1000,10111110001001,11,24,18,text,3.915186873006694
12,Gen5_Ind433,10111110001000,11,24,18,generic,3.915186873006694
13,Gen10_Ind1032,10111110001001,11,24,18,text,3.915186873006694
14,Gen10_Ind1039,10111110001001,11,24,18,text,3.915186873006694
15,Gen10_Ind1046,10111110001000,11,24,18,generic,3.915186873006694
16,Gen9_Ind917,10111110001000,11,24,18,generic,3.915186873006694
17,Gen10_Ind1062,10111110001000,11,24,18,generic,3.915186873006694
18,Gen10_Ind1066,10111110001001,11,24,18,text,3.915186873006694
19,Gen10_Ind1072,10111110001000,11,24,18,generic,3.915186873006694
20,Gen10_Ind1080,10111101001001,11,23,18,text,3.915186873006694
21,Gen10_Ind1088,10111110001001,11,24,18,text,3.915186873006694
22,Gen7_Ind730,10111110001000,11,24,18,generic,3.915186873006694
23,Gen8_Ind785,10111101001000,11,23,18,generic,3.915186873006694
24,Gen10_Ind1009,10111100001001,11,22,18,text,3.913164427500599
25,Gen10_Ind1018,10111100001001,11,22,18,text,3.913164427500599
26,Gen10_Ind1027,10111100001000,11,22,18,generic,3.913164427500599
27,Gen10_Ind1071,10111100001011,11,22,18,text,3.913164427500599
28,Gen10_Ind1060,10111110001010,11,24,18,font,3.912890186313478
29,Gen10_Ind989,10111101000111,11,23,17,font,3.9126329085450786
30,Gen10_Ind1002,10111110000100,11,24,17,generic,3.9126329085450786
31,Gen10_Ind1052,10111110000111,11,24,17,generic,3.9126329085450786
32,Gen10_Ind1082,10111101000100,11,23,17,generic,3.9126329085450786
33,Gen10_Ind1087,10111110000100,11,24,17,generic,3.9126329085450786
34,Gen10_Ind1014,10111100000100,11,22,17,generic,3.910569140841173
35,Gen6_Ind604,10111100000101,11,22,17,text,3.910569140841173
36,Gen10_Ind1042,10111100000100,11,22,17,generic,3.910569140841173
37,Gen6_Ind604,10111100000101,11,22,17,text,3.910569140841173
38,Gen10_Ind1036,10111110100110,11,24,20,font,3.90983888593027
39,Gen9_Ind926,10111101000111,11,23,17,font,3.90983888593027
40,Gen10_Ind1070,10111110010101,11,24,21,text,3.9097881839111066
41,Gen10_Ind1091,10111110101100,11,24,18,generic,3.9097881839111066
42,Gen9_Ind949,10111110001100,11,24,19,generic,3.9096327059183564
43,Gen10_Ind1077,10111101001100,11,23,19,generic,3.9096327059183564
44,Gen10_Ind1084,10111110001100,11,24,19,generic,3.9096327059183564
45,Gen10_Ind999,10111100001101,11,22,19,text,3.909511036114499
46,Gen10_Ind1081,10111100001100,11,22,19,generic,3.909511036114499
47,Gen10_Ind1069,10111100010100,11,22,21,generic,3.9082474698984675
48,Gen10_Ind1086,10111100100100,11,22,17,generic,3.9082474698984675
49,Gen10_Ind1076,10111110010011,11,24,20,font,3.9081799225190053
50,Gen10_Ind1090,10111101101001,11,23,17,text,3.90767676802588
51,Gen10_Ind1010,10111110101100,11,24,20,generic,3.907268261369537
52,Gen10_Ind1001,10111101101000,11,23,20,generic,3.9065054941637736
53,Gen10_Ind1053,10111101000000,11,23,16,generic,3.9065054941637736
54,Gen10_Ind1054,10111110000000,11,24,16,generic,3.9065054941637736
55,Gen10_Ind1094,10111101000001,11,23,16,text,3.9065054941637736
56,Gen10_Ind991,10111100101001,11,22,19,text,3.905965662011171
57,Gen10_Ind1089,10111100110101,11,22,23,text,3.905948794660439
58,Gen10_Ind1033,10111110011100,11,24,23,generic,3.9050078272935522
59,Gen10_Ind1038,10111100011100,11,22,23,generic,3.903511308327241
60,Gen10_Ind1055,10111100011111,11,22,23,generic,3.903511308327241
61,Gen9_Ind882,10111100111000,11,22,19,generic,3.903511308327241
62,Gen9_Ind882,10111100111000,11,22,22,generic,3.903511308327241
63,Gen10_Ind1093,10111100011100,11,22,23,generic,3.903511308327241
64,Gen9_Ind950,10101110100000,10,24,24,generic,3.8124813485366293
65,Gen9_Ind967,10101110110100,10,24,18,generic,3.811160877937378
66,Gen10_Ind1022,10101100010101,10,22,21,text,3.806874857426171
67,Gen10_Ind1044,10101110001000,10,24,18,generic,3.8047258575260043
68,Gen10_Ind1012,10101100000101,10,22,17,text,3.803957802727245
69,Gen10_Ind998,10101110000100,10,24,17,generic,3.8033755678788705
70,Gen10_Ind1037,10101110000101,10,24,17,text,3.8033755678788705
