Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen81_Ind11108,1000101100101010100101011010011000,19,28,27,11,7,5,32768,0,3.888331467619986
2,Gen81_Ind11140,1001000011101001000101011010001000,22,24,24,11,7,5,8192,0,3.888331467619986
3,Gen83_Ind11426,1001000011101001000101011010001000,22,24,24,11,7,5,8192,0,3.888331467619986
4,Gen83_Ind11426,1001000011101001000101011010001000,22,24,24,11,7,5,8192,0,3.888331467619986
5,Gen85_Ind11652,1001000011101011000101011010101000,22,24,28,11,7,5,131072,0,3.888331467619986
6,Gen87_Ind11936,1001000011101010000101011010101000,22,24,26,11,7,5,131072,0,3.888331467619986
7,Gen87_Ind12000,1001000011101001000101011010011000,22,24,24,11,7,5,32768,0,3.888331467619986
8,Gen88_Ind12032,1000101011101101000101111010001000,19,24,14,11,9,5,8192,0,3.888331467619986
9,Gen88_Ind12055,1001000011101011000101011010101000,22,24,28,11,7,5,131072,0,3.888331467619986
10,Gen89_Ind12195,1001000011111011000101011010101000,22,25,28,11,7,5,131072,0,3.888331467619986
11,Gen87_Ind11936,1001000011101010000101011010101000,22,24,26,11,7,5,131072,0,3.888331467619986
12,Gen87_Ind11893,1000111011101010000101010110101000,21,24,26,11,6,5,131072,0,3.888277978867003
13,Gen89_Ind12142,1001000101101010000101010110011000,22,19,26,11,6,5,32768,0,3.888277978867003
14,Gen89_Ind12174,1000111101111010100101010110101000,21,30,27,11,6,5,131072,0,3.888277978867003
15,Gen88_Ind12106,1000111100101011110101010110100000,21,28,29,27,6,5,65536,0,3.8882010913627245
16,Gen89_Ind12272,1000111101101011010101010110010000,21,11,28,27,6,5,16384,0,3.8882010913627245
17,Gen89_Ind12169,1001000011101001010101011010001000,22,24,24,27,7,5,8192,0,3.888194405636491
18,Gen89_Ind12245,1000101100101010110110011010011000,19,28,27,28,7,5,32768,0,3.888194405636491
19,Gen89_Ind12247,1000111100101001110101011110100000,21,28,25,27,8,5,65536,0,3.888194405636491
20,Gen89_Ind12199,1000101100101010000111011010010000,19,28,26,13,7,5,16384,0,3.888171005775735
21,Gen89_Ind12246,1001000111001011000100011110001000,22,20,28,10,8,5,8192,0,3.888157634553186
22,Gen89_Ind12146,1000111100101000110001011110100000,21,28,23,23,8,5,65536,0,3.888067381206407
23,Gen89_Ind12147,1000111011101000110011011110000000,21,24,23,25,8,5,4096,0,3.888067381206407
24,Gen89_Ind12213,1000111011101010000101010010101000,21,24,26,11,5,5,131072,0,3.8880138997187905
25,Gen89_Ind12215,1000101011101011000101111010101000,19,24,28,11,2,5,131072,0,3.8880138997187905
26,Gen89_Ind12249,1000111011101010000101010010101000,21,24,26,11,5,5,131072,0,3.8880138997187905
27,Gen89_Ind12184,1000100011001010010110011110001000,18,22,26,28,8,5,8192,0,3.8863967798513843
28,Gen89_Ind12165,1001000100111010001101011001000110,22,29,26,19,7,4,4096,3,3.8859459635953697
29,Gen89_Ind12224,1000111011101011010101011000001000,21,24,28,27,7,3,8192,0,3.884704255355701
30,Gen89_Ind12251,1000111011101000110011011011001000,21,24,23,25,7,6,8192,0,3.882389855040116
31,Gen89_Ind12269,1001000011101101000001111000001000,22,24,17,7,10,3,8192,0,3.862851329813131
32,Gen89_Ind12173,1000110011101011010111011010010101,20,24,28,29,7,5,16384,5,3.53039972209537
33,Gen89_Ind12194,1000110100101011110000010110010101,20,28,29,22,6,5,16384,5,3.519582832666123
34,Gen89_Ind12252,0010011011100000110000011110001101,-31,24,7,22,8,5,8192,5,3.519582832666123
35,Gen89_Ind12222,1000111111101000110011011110001100,21,20,23,25,8,5,8192,4,3.4776304872225294
