Rank,Individual,Gene1,quality_Gene1,lgwin_Gene1,lgblock_Gene1,mode_Gene1,Fitness
1,Gen7_Ind673,10111101001001,11,23,18,text,3.915186873006694
2,Gen7_Ind723,10111101110000,11,23,20,generic,3.915186873006694
3,Gen8_Ind870,10111101110000,11,23,20,generic,3.915186873006694
4,Gen8_Ind890,10111101001001,11,23,18,text,3.915186873006694
5,Gen9_Ind904,10111101001000,11,23,18,generic,3.915186873006694
6,Gen9_Ind906,10111101001001,11,23,18,text,3.915186873006694
7,Gen9_Ind960,10111101001001,11,23,18,text,3.915186873006694
8,Gen9_Ind973,10111110001000,11,24,18,generic,3.915186873006694
9,Gen9_Ind981,10111101110000,11,23,20,generic,3.915186873006694
10,Gen10_Ind1049,10111110001011,11,24,18,text,3.915186873006694
11,Gen92_Ind9955,10111101001001,11,23,18,text,3.915186873006694
12,Gen92_Ind9958,10111101001001,11,23,18,text,3.915186873006694
13,Gen92_Ind9966,10111101001001,11,23,18,text,3.915186873006694
14,Gen92_Ind9967,10111101001001,11,23,18,text,3.915186873006694
15,Gen92_Ind9968,11111101001000,5,23,18,generic,3.915186873006694
16,Gen92_Ind9978,10111101001000,11,23,18,generic,3.915186873006694
17,Gen92_Ind9981,10111101001001,11,23,18,text,3.915186873006694
18,Gen92_Ind9983,10111110001000,11,24,18,generic,3.915186873006694
19,Gen92_Ind9985,10111101001001,11,23,18,text,3.915186873006694
20,Gen91_Ind9932,10111101001011,11,23,18,text,3.915186873006694
21,Gen92_Ind10005,10111110001001,11,24,18,text,3.915186873006694
22,Gen91_Ind9932,10111101001011,11,23,18,font,3.915186873006694
23,Gen92_Ind10023,10111101001001,11,23,18,text,3.915186873006694
24,Gen92_Ind10024,10111101001001,11,23,18,text,3.915186873006694
25,Gen92_Ind10035,10111101001000,11,23,18,generic,3.915186873006694
26,Gen92_Ind10041,10111101001011,11,23,18,font,3.915186873006694
27,Gen92_Ind10055,10111101001000,11,23,18,generic,3.915186873006694
28,Gen91_Ind9852,10111100001011,11,22,18,font,3.913164427500599
29,Gen92_Ind10029,10111100001000,11,22,18,generic,3.913164427500599
30,Gen92_Ind10050,10111100001001,11,22,18,text,3.913164427500599
31,Gen92_Ind9957,10111101001010,11,23,18,font,3.912890186313478
32,Gen92_Ind9972,10111101001011,11,23,18,generic,3.912890186313478
33,Gen92_Ind10002,10111101000100,11,23,17,generic,3.9126329085450786
