Rank,Individual,Gene1,quality_Gene1,lgwin_Gene1,lgblock_Gene1,mode_Gene1,Fitness
1,Gen5_Ind492,10111110001001,11,24,18,text,3.868308187333046
2,Gen5_Ind492,10111110001001,11,24,18,text,3.868308187333046
3,Gen7_Ind719,10111110110011,11,24,20,generic,3.868308187333046
4,Gen7_Ind736,10111110001001,11,24,18,text,3.868308187333046
5,Gen5_Ind492,10111110001001,11,24,18,text,3.868308187333046
6,Gen7_Ind736,10111110001001,11,24,18,text,3.868308187333046
7,Gen8_Ind812,10111110110000,11,24,18,generic,3.868308187333046
8,Gen8_Ind844,10111110001001,11,24,18,text,3.868308187333046
9,Gen8_Ind875,10111110001000,11,24,18,generic,3.868308187333046
10,Gen9_Ind931,10111110001001,11,24,18,text,3.868308187333046
11,Gen12_Ind1235,10111110001000,11,24,18,generic,3.868308187333046
12,Gen12_Ind1243,10111110110000,11,24,16,generic,3.868308187333046
13,Gen12_Ind1248,10111110001001,11,24,18,text,3.868308187333046
14,Gen12_Ind1251,10111110001001,11,24,18,text,3.868308187333046
15,Gen12_Ind1260,10111110001000,11,24,18,generic,3.868308187333046
16,Gen12_Ind1268,10111110001001,11,24,18,text,3.868308187333046
17,Gen12_Ind1277,10111110001001,11,24,18,text,3.868308187333046
18,Gen5_Ind492,10111110001001,11,24,18,text,3.868308187333046
19,Gen8_Ind875,10111110001000,11,24,18,generic,3.868308187333046
20,Gen12_Ind1305,10111110001000,11,24,18,generic,3.868308187333046
21,Gen12_Ind1307,10111110001001,11,24,18,text,3.868308187333046
22,Gen12_Ind1324,10111110001001,11,24,18,text,3.868308187333046
23,Gen12_Ind1331,10111110001001,11,24,18,text,3.868308187333046
24,Gen5_Ind492,10111110001001,11,24,18,text,3.868308187333046
25,Gen12_Ind1335,10111110001001,11,24,18,text,3.868308187333046
26,Gen11_Ind1115,10111110001000,11,24,18,generic,3.868308187333046
27,Gen12_Ind1336,10111110001000,11,24,18,generic,3.868308187333046
28,Gen11_Ind1211,10111110001011,11,24,18,font,3.868308187333046
29,Gen12_Ind1230,10111110001011,11,24,18,font,3.8678305930279944
30,Gen11_Ind1224,10111110001010,11,24,18,font,3.8678305930279944
31,Gen12_Ind1291,10111110110011,11,24,18,text,3.8678305930279944
32,Gen12_Ind1269,10111110111100,11,24,23,generic,3.866420717518444
33,Gen12_Ind1303,10111110110001,11,24,18,text,3.866420717518444
34,Gen12_Ind1308,10111110111101,11,24,22,text,3.866420717518444
35,Gen12_Ind1334,10111110101001,11,24,17,text,3.866420717518444
36,Gen11_Ind1159,10111110001101,11,24,19,text,3.864763408633916
37,Gen11_Ind1219,10111110110001,11,24,21,text,3.864763408633916
38,Gen12_Ind1258,10111110110101,11,24,18,text,3.8634364299822925
39,Gen12_Ind1333,10111110101001,11,24,19,text,3.8634364299822925
40,Gen12_Ind1231,10111110011001,11,24,22,text,3.8631425193161344
41,Gen12_Ind1252,10111110101100,11,24,19,generic,3.8631425193161344
42,Gen12_Ind1286,10111110101001,11,24,23,text,3.8631425193161344
43,Gen12_Ind1288,10111110011001,11,24,22,text,3.8631425193161344
44,Gen11_Ind1207,10111110011001,11,24,22,text,3.8631425193161344
45,Gen12_Ind1302,10111110010110,11,24,21,font,3.8629060418877157
46,Gen12_Ind1229,10111110110001,11,24,23,text,3.862307116089892
47,Gen12_Ind1273,10111110010001,11,24,20,text,3.862307116089892
48,Gen12_Ind1285,10111110010000,11,24,20,generic,3.862307116089892
49,Gen12_Ind1227,10111110000000,11,24,16,generic,3.8622451822970483
50,Gen12_Ind1266,10111110000001,11,24,16,text,3.8622451822970483
51,Gen12_Ind1280,10111110000000,11,24,16,generic,3.8622451822970483
52,Gen12_Ind1314,10111110010010,11,24,20,font,3.861891480124252
53,Gen12_Ind1236,10111101111001,11,23,17,text,3.8025107146006887
54,Gen12_Ind1295,10111101001001,11,23,18,text,3.8025107146006887
55,Gen12_Ind1256,10111101000110,11,23,17,font,3.80029445674516
56,Gen12_Ind1246,10111101011000,11,23,22,generic,3.796499579311673
57,Gen12_Ind1299,10111101110110,11,23,16,font,3.7954958670317236
58,Gen11_Ind1165,11111101010011,7,23,20,generic,3.7953428816290544
59,Gen12_Ind1275,10101110001001,10,24,18,text,3.752435093053473
60,Gen12_Ind1342,10101110000100,10,24,17,generic,3.7519792397634575
61,Gen12_Ind1278,10111100001001,11,22,18,text,3.736153232739994
62,Gen12_Ind1319,10111100000001,11,22,16,text,3.7303705358262285
63,Gen12_Ind1289,10111100110001,11,22,18,text,3.729024135787103
64,Gen12_Ind1339,11111100011000,3,22,22,generic,3.729024135787103
65,Gen12_Ind1253,10111100101000,11,22,21,generic,3.724634800798789
66,Gen12_Ind1318,10111011001001,11,21,18,text,3.6689503049061565
67,Gen12_Ind1233,10111111110000,11,13,22,generic,3.6251580328993906
68,Gen12_Ind1323,10111010001000,11,20,18,generic,3.6072336815085704
69,Gen12_Ind1337,10111010111000,11,20,20,generic,3.6023742344932383
70,Gen12_Ind1272,10111010000001,11,20,16,text,3.6011702672565087
71,Gen12_Ind1304,10111010111001,11,20,23,text,3.6011702672565087
72,Gen12_Ind1264,10111010010000,11,20,20,generic,3.598525229986563
73,Gen12_Ind1292,10101011001001,10,21,18,text,3.5575198306188875
74,Gen12_Ind1265,10111111001000,11,18,18,generic,3.548755817018228
75,Gen12_Ind1228,10111001100011,11,19,24,text,3.5114678361502007
76,Gen11_Ind1144,10101010010101,10,20,21,text,3.5027363753740173
77,Gen12_Ind1329,10111000101001,11,18,19,text,3.4534182715566053
78,Gen12_Ind1244,10011110010001,9,24,20,text,3.408847389615001
79,Gen12_Ind1326,10011110011001,9,24,22,text,3.4088436831064133
80,Gen12_Ind1249,10011110001101,9,24,19,text,3.4088225075520824
81,Gen12_Ind1237,10011110001000,9,24,18,generic,3.4087871142788955
82,Gen12_Ind1312,10011110001001,9,24,18,text,3.4087871142788955
83,Gen12_Ind1340,10011110101001,9,24,18,text,3.4087871142788955
84,Gen12_Ind1322,11111110111000,3,24,24,generic,3.408703783491708
85,Gen12_Ind1284,10011110000000,9,24,16,generic,3.408526441919072
86,Gen12_Ind1293,10011110001011,9,24,18,generic,3.404131037035687
87,Gen12_Ind1315,10011100010000,9,22,20,generic,3.3896874746757595
88,Gen11_Ind1180,10110110011000,11,16,22,generic,3.333452707482307
89,Gen12_Ind1311,10110110001010,11,16,18,font,3.3316437371923935
90,Gen12_Ind1257,10110110010010,11,16,20,font,3.3307329689242913
91,Gen12_Ind1330,10011010010000,9,20,20,generic,3.3252512482668477
92,Gen12_Ind1240,10011001000001,9,19,16,text,3.2789226411831507
93,Gen12_Ind1263,10111111011001,11,10,22,text,3.252828766877646
94,Gen12_Ind1242,10110101001001,11,15,18,text,3.250540832377045
95,Gen12_Ind1297,10110100010011,11,14,20,generic,3.173988163736186
96,Gen12_Ind1283,11111110011001,5,24,22,text,3.1580431899821835
97,Gen12_Ind1241,10111111101101,11,12,19,text,3.103515688724816
98,Gen12_Ind1296,10010110000101,9,16,17,text,3.02228769043697
99,Gen12_Ind1270,00111100000101,3,22,17,text,2.795520933715276
100,Gen12_Ind1281,00111110100000,3,24,24,generic,2.795418163314268
