Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
1,Gen11_Ind1267,100011000001111000010101,536870912,4,0,4,1,bt2,64,500,4.1380991421443305
2,Gen7_Ind796,100010100001111001100101,536870912,2,0,0,1,bt3,273,500,4.137843249571503
3,Gen11_Ind1235,100010100000011001010101,536870912,2,0,1,1,bt3,64,500,4.137333528531609
4,Gen11_Ind1252,100010100000011001011110,536870912,2,0,1,1,bt3,128,1000,4.1373243987411685
5,Gen9_Ind1077,100010100000011001010110,536870912,2,0,1,1,bt3,64,1000,4.137317417163902
6,Gen10_Ind1192,100010100000011001010110,536870912,2,0,1,1,bt3,64,1000,4.137317417163902
7,Gen11_Ind1213,100010100001011001010110,536870912,2,0,0,1,bt3,64,1000,4.137317417163902
8,Gen11_Ind1316,100010100000011001010110,536870912,2,0,1,1,bt3,64,1000,4.137317417163902
9,Gen7_Ind788,100011000000011001100101,536870912,4,0,1,1,bt3,273,500,4.137206789161298
10,Gen9_Ind987,100011000000011001100101,536870912,4,0,1,1,bt3,273,500,4.137206789161298
11,Gen7_Ind788,100011000000011001100101,536870912,4,0,1,1,bt3,273,500,4.137206789161298
12,Gen10_Ind1174,101011000000011001100101,32768,4,0,1,1,bt3,273,500,4.137206789161298
13,Gen11_Ind1251,100011000000011001100101,536870912,4,0,1,1,bt3,273,500,4.137206789161298
14,Gen9_Ind1075,100011000001111000100101,536870912,4,0,1,1,bt2,273,500,4.137189783763189
15,Gen11_Ind1319,100011100000011000010101,536870912,4,0,1,1,bt2,64,500,4.137017947583959
16,Gen11_Ind1327,100010110000011001100110,536870912,3,0,1,1,bt3,273,1000,4.136734091165124
17,Gen6_Ind628,100010110000011010100111,536870912,3,0,1,1,bt4,273,500,4.136606851657731
18,Gen6_Ind628,100010110000011010100111,536870912,3,0,1,1,bt4,273,10,4.136547082214318
19,Gen11_Ind1244,111111010001101001011101,536870912,3,0,0,1,bt3,128,500,4.136397487227131
20,Gen11_Ind1313,100010100011111001100101,536870912,2,1,3,1,bt3,273,500,4.136365637060009
21,Gen11_Ind1318,100010110010011010100011,536870912,3,1,1,1,bt4,273,100,4.136113358122576
22,Gen11_Ind1208,100110100100011000100101,33554432,2,2,1,1,bt2,273,500,4.135865939951584
23,Gen11_Ind1306,100010100001111001100100,536870912,2,0,3,1,bt3,273,200,4.135677757374789
24,Gen11_Ind1250,100011000001111000100101,536870912,4,0,2,1,bt2,273,500,4.13567507428697
25,Gen11_Ind1333,100010000100011001100101,536870912,0,2,1,1,bt3,273,500,4.133265636562247
26,Gen11_Ind1259,101010110000011000100111,16384,3,0,1,1,bt2,273,500,4.132985867606795
27,Gen11_Ind1241,100010000001111010100111,536870912,0,0,3,1,bt4,273,200,4.132799018762279
28,Gen11_Ind1258,100010000000101001100100,536870912,0,0,2,1,bt3,273,200,4.132669163407762
29,Gen11_Ind1226,100010001000011000100110,536870912,0,4,1,1,bt2,273,1000,4.132576465608936
30,Gen11_Ind1315,100011100000111001100101,536870912,2,0,3,1,bt3,273,500,4.132056256282124
31,Gen11_Ind1271,110010000000011001110110,8192,0,0,1,1,bt3,64,1000,4.130780485503694
32,Gen11_Ind1340,100010010010011010110101,536870912,1,1,1,1,bt4,128,500,4.130516040625859
33,Gen11_Ind1257,100011000000011001100010,536870912,4,0,1,1,bt3,273,50,4.130397212051392
34,Gen10_Ind1120,100000100100011000110100,268435456,2,2,1,1,bt2,32,200,4.1292950728291204
35,Gen11_Ind1279,100000000000011001100101,268435456,0,0,1,1,bt3,273,500,4.129251562976507
36,Gen11_Ind1229,100000001100011000010110,268435456,0,3,1,1,bt2,64,1000,4.128609720877613
37,Gen11_Ind1328,100001110000111010001101,268435456,1,0,3,1,bt4,32,500,4.12837817183963
38,Gen11_Ind1312,100010000101101000101000,536870912,0,2,0,1,bt2,32,0,4.127532231560641
39,Gen11_Ind1249,100000000100011000110100,268435456,0,2,1,1,bt2,128,200,4.123005302291407
40,Gen10_Ind1131,100000000000011000100011,268435456,0,0,1,1,bt2,273,100,4.120773262527289
41,Gen10_Ind1131,100000000000011000100011,268435456,0,0,1,1,bt2,273,100,4.120773262527289
42,Gen11_Ind1285,100010010100011000011010,536870912,1,2,1,1,bt2,128,50,4.100099798798727
43,Gen11_Ind1295,011110100000101001111111,134217728,2,0,2,1,bt3,16,0,4.0919942143014225
