Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen5_Ind414,1001010011110011010101011011100101,-47,25,12,27,7,6,65536,5,3.414094029244224
2,Gen3_Ind219,1011110100000100010010011111001101,15,26,14,24,8,6,8192,5,3.4120439339126687
3,Gen5_Ind336,1011110100000100010010011011001111,-36,26,14,24,7,6,8192,4,3.4120439339126687
4,Gen5_Ind397,1111110100000100010010011011001101,17,26,14,24,7,6,8192,5,3.4120439339126687
5,Gen5_Ind422,0111001100011011110110010111011100,7,27,29,28,6,6,32768,4,3.3855254047268826
6,Gen4_Ind268,1001100101001111010011100111001100,-9,30,19,25,10,6,8192,4,3.382473290336377
7,Gen5_Ind363,1011110100000100010110011011001111,19,26,14,28,7,6,8192,1,3.3817544523364123
8,Gen5_Ind381,0111000100011111010011100111100100,6,27,26,25,10,6,65536,4,3.376486230473229
9,Gen4_Ind283,1101010101000101010010100011001100,-27,30,16,24,9,6,8192,4,3.372075493901505
10,Gen4_Ind260,1011110100000100010010011011001111,19,26,14,24,7,6,8192,3,3.365057101344074
11,Gen3_Ind236,0111001100011111010001010111011100,7,27,8,23,6,6,32768,4,3.348710330921106
12,Gen5_Ind379,0111001100011011110001010111001100,7,27,29,23,6,6,8192,4,3.348710330921106
13,Gen3_Ind208,1001010011100011010101011010101101,-12,24,12,27,7,5,131072,5,3.3302413842107024
14,Gen5_Ind395,0001010011101011010100011010101101,-40,24,28,26,7,5,131072,5,3.3296543978153648
15,Gen4_Ind255,0110101011100100010011001111100101,3,24,14,25,4,6,65536,5,3.3289377290898066
16,Gen5_Ind423,0110101011100100010011001111110101,3,24,14,25,4,6,32768,5,3.3289377290898066
17,Gen5_Ind393,1011110100000100010011001111001111,-17,26,14,25,4,6,8192,4,3.299923603587991
18,Gen5_Ind341,0111001100011011010001010110111100,7,27,28,23,6,5,16384,4,3.282506792769391
19,Gen5_Ind361,0111011100011010010001010110011100,9,27,26,23,6,5,32768,4,3.282506792769391
20,Gen5_Ind398,0111001100010011110001110110011100,7,27,13,23,2,5,32768,4,3.282506792769391
21,Gen5_Ind405,0111011100011110110001011110011111,9,27,17,23,8,5,32768,3,3.282506792769391
22,Gen5_Ind390,1000010100000010011100011111001011,16,26,10,12,8,6,8192,3,3.2758428450310793
23,Gen5_Ind371,0111001101011111010100000111011101,7,28,24,26,2,6,32768,5,3.2450917307888014
24,Gen5_Ind418,0111101100011011010001111111000111,11,27,28,23,6,6,4096,5,3.244816848919694
25,Gen5_Ind344,1110110100000100010010001110101101,2,26,14,24,4,5,131072,5,3.241720112596297
26,Gen5_Ind362,0111001100011011010001010010010100,7,27,28,23,5,5,16384,4,3.2414600967969855
27,Gen5_Ind357,1000001011001111010101001011000100,15,22,11,27,3,6,4096,4,3.2275325881996038
28,Gen5_Ind375,0011010011101011110110011000111101,-24,24,29,28,7,3,32768,5,3.223781253768998
29,Gen5_Ind383,1001100101001111010011000111001100,-15,30,21,25,2,6,8192,4,3.206014173275858
30,Gen5_Ind387,0101001101101010110110011111111101,-9,18,27,28,8,6,4096,5,3.176676147455867
31,Gen5_Ind421,1000101010010101110001001001011110,19,19,17,23,3,4,32768,0,3.1679103422544923
32,Gen5_Ind406,1010010100001011001100011110011100,-29,26,28,18,8,5,32768,4,3.1359480517458054
33,Gen5_Ind353,0011000100000100001111101110011011,-26,26,14,21,2,5,32768,3,3.1333857491968606
34,Gen5_Ind402,0011100010010100101100011001000101,-22,19,15,18,7,4,4096,5,3.129397903507031
35,Gen5_Ind413,0110101011101100010011001100100101,3,24,30,25,4,3,65536,5,3.0946075402919133
36,Gen5_Ind347,0000101101000010101100011011001011,-45,30,11,18,7,6,8192,3,3.084411951345423
37,Gen5_Ind373,1010110100000010110100001110001011,-6,26,11,26,4,5,8192,3,3.0748086923614655
38,Gen5_Ind372,0111001100001001001111000110011100,7,26,24,21,2,5,32768,4,3.058728982427662
39,Gen5_Ind376,0011001010010100001100001111011011,-25,19,14,18,4,6,32768,3,3.0562547276750456
40,Gen5_Ind350,1010010100000011001100011110011110,-33,26,12,18,8,5,32768,0,3.0449088018889667
41,Gen5_Ind354,1111001010011001010100010101011111,-45,19,24,26,6,4,32768,0,3.023495254138359
42,Gen5_Ind391,0000101101000111010100110111011110,-45,30,20,26,1,6,32768,3,3.0144850510170476
43,Gen5_Ind368,1000011011100111110010101111100010,17,24,21,24,5,6,65536,2,2.9728521113753033
44,Gen5_Ind386,0101011011110011101100101100001100,-7,25,13,18,4,3,8192,4,2.9491485846346164
45,Gen5_Ind348,1000001011000100110101110100000101,15,22,15,27,2,3,4096,5,2.9295225181487723
46,Gen5_Ind410,0101011001100110010110011000011011,-7,16,18,28,7,3,32768,3,2.86900341677281
47,Gen5_Ind417,1010110001000100100111010110011100,21,14,15,13,6,5,32768,4,2.723835961889089
48,Gen5_Ind345,1011110001101011100110011011001111,-34,16,29,12,7,6,8192,3,2.579752787916351
49,Gen5_Ind367,0111001010010001111110001011011101,7,19,9,20,3,6,32768,5,2.571249713441525
50,Gen5_Ind409,0011010010111011100110011100011101,-24,21,29,12,8,3,32768,5,2.524810659091585
51,Gen5_Ind337,0010111101011000101100010111001101,-27,30,23,18,6,6,8192,5,2.523805319531791
