Rank,Individual,Gene1,ctx_Gene1,den_Gene1,hash_Gene1,gamma_Gene1,mutations_Gene1,den_mut_Gene1,gamma_mut_Gene1,Fitness
1,Gen21_Ind2625,1000100111101100011011100,5,20,16,0.95,1,4,0.99,4.379337852180072
2,Gen22_Ind2724,1000100111101100000011100,5,20,0,0.95,1,2,0.99,4.379337852180072
3,Gen23_Ind2864,1000100111101100011011100,5,20,32,0.95,1,7,0.99,4.379337852180072
4,Gen25_Ind3147,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
5,Gen26_Ind3292,1000100111101100000011100,5,20,32,0.95,1,2,0.99,4.379337852180072
6,Gen27_Ind3334,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
7,Gen29_Ind3602,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
8,Gen25_Ind3147,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
9,Gen29_Ind3680,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
10,Gen30_Ind3715,1000100111101100000011100,5,20,128,0.95,1,2,0.99,4.379337852180072
11,Gen45_Ind5671,1000100001101100000011100,5,20,16,0.95,1,2,0.99,4.379337852180072
12,Gen45_Ind5691,1000100111101100000011100,5,20,0,0.95,1,2,0.99,4.379337852180072
13,Gen45_Ind5714,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
14,Gen45_Ind5636,1000100111101100011001100,5,20,255,0.95,1,3,0.99,4.379304390216321
15,Gen45_Ind5715,1000100011101100000001100,5,20,64,0.95,1,1,0.99,4.379291005573999
16,Gen45_Ind5728,1000100111111100011011100,5,20,192,0.1,1,1,0.99,4.3791772394175075
17,Gen45_Ind5674,1000100011101100000111100,5,20,64,0.95,1,4,0.99,4.3791738934435624
18,Gen45_Ind5656,1000100001101000000011100,5,20,16,0.9,1,2,0.99,4.379160509598913
19,Gen45_Ind5689,1000100001101000000011100,5,20,16,0.9,1,2,0.99,4.379160509598913
20,Gen45_Ind5619,1000100111101100010011101,5,20,192,0.95,1,10,0.6,4.379143779908145
21,Gen45_Ind5678,1000100010001100000011100,5,20,32,0.2,1,2,0.99,4.37914043398533
22,Gen45_Ind5677,1000100011001100000011100,5,20,64,0.2,1,2,0.99,4.37914043398533
23,Gen45_Ind5724,1000100010001100000011100,5,20,32,0.2,1,2,0.99,4.37914043398533
24,Gen44_Ind5528,1000100001101101010011100,5,20,16,0.95,3,10,0.99,4.37911032091008
25,Gen44_Ind5603,1000100111000100010011100,5,20,128,0.05,1,10,0.99,4.379106975038393
26,Gen45_Ind5655,1000100010100101010111100,5,20,32,0.8,3,7,0.99,4.379100283310361
27,Gen45_Ind5629,1000100010000101001001100,5,20,32,0.05,3,5,0.99,4.379086899915649
28,Gen45_Ind5640,1000100010100101001011100,5,20,32,0.8,3,6,0.99,4.379086899915649
29,Gen45_Ind5623,1000100100111100000011100,5,20,128,0.05,1,2,0.99,4.379073516602741
30,Gen45_Ind5639,1010100100101000001111100,4,20,128,0.9,1,8,0.99,4.379043404447793
31,Gen45_Ind5613,1000100111001100000011101,5,20,128,0.2,1,2,0.7,4.3790400586783615
32,Gen45_Ind5617,1000100011100000000011100,5,20,64,0.7,1,2,0.99,4.3790400586783615
33,Gen45_Ind5624,1000100111001100000111100,5,20,16,0.2,1,4,0.99,4.3790367129140435
34,Gen45_Ind5727,1000100010101101001011100,5,20,32,0.95,3,6,0.99,4.379013292706966
35,Gen44_Ind5507,1000100111001101000011100,5,20,16,0.2,3,2,0.99,4.378976490030554
36,Gen44_Ind5525,1000100011100001000011100,5,20,64,0.7,3,2,0.99,4.378946379209967
37,Gen45_Ind5616,1000100010000111001001100,5,20,32,0.05,2,5,0.99,4.3788861588110715
38,Gen45_Ind5652,1000100010100000100011100,5,20,32,0.7,2,2,0.99,4.378856049232744
39,Gen44_Ind5562,1000100000100000100011100,5,20,0,0.7,2,2,0.99,4.378856049232744
40,Gen45_Ind5633,1000100111101100100011100,5,20,128,0.95,2,2,0.99,4.378835976410564
41,Gen45_Ind5716,1000100111101100100011100,5,20,0,0.95,2,2,0.99,4.378835976410564
42,Gen45_Ind5651,1000100000001101100111100,5,20,0,0.2,4,4,0.99,4.378825940068485
43,Gen45_Ind5719,1000100101101100111011111,5,20,192,0.95,2,5,0.2,4.378809212933924
44,Gen45_Ind5670,1000100000100010000011100,5,20,0,0.7,5,2,0.99,4.378789140541139
45,Gen45_Ind5611,1000100110110110000011100,5,20,255,0.4,5,2,0.99,4.378772413687725
46,Gen45_Ind5635,1000100001101110000011100,5,20,16,0.95,5,2,0.99,4.378712198073538
47,Gen45_Ind5710,1000101110101000000011100,5,50,255,0.9,1,2,0.99,4.372822427254021
48,Gen45_Ind5706,1000101010101100000011100,5,50,32,0.95,1,2,0.99,4.372759038994133
49,Gen45_Ind5695,1001100110101000010001100,5,50,255,0.9,1,9,0.99,4.3726789722399815
50,Gen45_Ind5712,1000101011001100000011100,5,50,64,0.2,1,2,0.99,4.372618924098533
51,Gen45_Ind5620,1000101111001110010011100,5,50,64,0.2,5,10,0.99,4.37211191666209
52,Gen45_Ind5703,1000110011101100000011100,5,100,64,0.95,1,2,0.99,4.364361361891882
53,Gen45_Ind5687,1000110000111100100011100,5,100,0,0.95,2,2,0.99,4.36431815845482
54,Gen44_Ind5599,1000110101100001111011100,5,100,192,0.7,4,6,0.99,4.363753269149507
55,Gen45_Ind5644,1000110011101110000011100,5,100,64,0.95,5,2,0.99,4.363543964954114
56,Gen45_Ind5625,1000110111101010000011100,5,100,128,0.9,5,2,0.99,4.363367899196898
57,Gen45_Ind5681,1000100100000100000011000,5,20,128,0.05,1,2,0.7,4.3625940427656715
58,Gen45_Ind5665,1000100111001100000011000,5,20,255,0.2,1,2,0.7,4.362129196653637
59,Gen44_Ind5595,1001101100110101000011110,5,10,128,0.1,3,2,0.3,4.357257599175291
60,Gen45_Ind5661,1000100000101100000011000,5,20,0,0.95,1,2,0.7,4.356578629317304
61,Gen45_Ind5667,1001100101101100000011100,5,200,192,0.95,1,2,0.99,4.355618496688118
62,Gen45_Ind5698,1000111111101010000011100,5,200,64,0.9,5,2,0.99,4.354592615892379
63,Gen45_Ind5684,1000111111001110000011100,5,200,32,0.2,5,2,0.99,4.354463587691088
64,Gen45_Ind5657,1000101111101000100111000,5,50,0,0.9,2,4,0.7,4.354404038792465
65,Gen45_Ind5682,1001100011100101011011101,5,200,64,0.8,3,1,0.9,4.344824684623356
66,Gen45_Ind5711,1000101111001100000001101,5,50,64,0.2,1,1,0.6,4.321369195587414
67,Gen45_Ind5686,1000100111101100000011101,5,20,192,0.95,1,2,0.9,4.31604856272761
68,Gen45_Ind5664,1001111101001100000011101,5,1,192,0.2,1,2,0.1,4.29301767116885
69,Gen45_Ind5702,1000111111001010001010101,5,200,192,0.1,5,6,0.4,4.271211412116804
70,Gen45_Ind5680,1000000011101100000011100,5,1,64,0.95,1,2,0.99,4.235706367506208
71,Gen45_Ind5718,1000000100101100000011100,5,1,128,0.95,1,2,0.99,4.235706367506208
72,Gen45_Ind5659,1000000111001100000011100,5,1,16,0.2,1,2,0.99,4.2356155900052395
73,Gen45_Ind5692,1000000100110101001011100,5,1,128,0.8,3,6,0.99,4.233875918313074
74,Gen45_Ind5615,1001111011001010000011100,5,10,64,0.1,5,2,0.99,4.2314565231354635
75,Gen44_Ind5547,1000000011101100100011000,5,1,64,0.95,2,2,0.7,4.230784959555442
76,Gen45_Ind5723,1000000100101110010011000,5,1,128,0.95,5,10,0.7,4.229576682131917
77,Gen45_Ind5641,1000000100001010000011000,5,1,128,0.1,5,2,0.7,4.229177197022747
78,Gen45_Ind5707,1000100100011100101010100,5,20,128,0.6,2,6,0.3,4.214157829297542
79,Gen45_Ind5700,1000101000001100000011101,5,50,0,0.2,1,2,0.7,4.209097772300859
80,Gen45_Ind5630,1000110111110001110010100,5,100,255,0.99,4,10,0.3,4.206496657653928
