Rank,Individual,Gene1,quality_Gene1,lgwin_Gene1,lgblock_Gene1,mode_Gene1,Fitness
1,Gen7_Ind666,10111101111001,11,23,20,text,3.60180724481575
2,Gen7_Ind706,10111110001000,11,24,18,generic,3.60180724481575
3,Gen7_Ind741,10111110001001,11,24,18,text,3.60180724481575
4,Gen8_Ind805,10111110001001,11,24,18,text,3.60180724481575
5,Gen6_Ind639,10111110001011,11,24,18,text,3.60180724481575
6,Gen7_Ind706,10111110001000,11,24,18,generic,3.60180724481575
7,Gen6_Ind639,10111110001011,11,24,18,generic,3.60180724481575
8,Gen9_Ind896,10111101001000,11,23,18,generic,3.60180724481575
9,Gen9_Ind930,10111110001001,11,24,18,text,3.60180724481575
10,Gen9_Ind957,10111110001011,11,24,18,text,3.60180724481575
11,Gen50_Ind5359,10111110001001,11,24,18,text,3.60180724481575
12,Gen50_Ind5365,10111110001001,11,24,18,text,3.60180724481575
13,Gen50_Ind5372,10111110001001,11,24,18,text,3.60180724481575
14,Gen49_Ind5299,10111110001011,11,24,18,text,3.60180724481575
15,Gen49_Ind5299,10111110001011,11,24,18,font,3.60180724481575
16,Gen50_Ind5387,10111101001000,11,23,18,generic,3.60180724481575
17,Gen50_Ind5420,10111110001001,11,24,18,text,3.60180724481575
18,Gen7_Ind706,10111110001000,11,24,18,generic,3.60180724481575
19,Gen50_Ind5421,10111110001011,11,24,18,text,3.60180724481575
20,Gen50_Ind5425,10111110001011,11,24,18,generic,3.60180724481575
21,Gen50_Ind5428,10111101001001,11,23,18,text,3.60180724481575
22,Gen50_Ind5442,10111101001001,11,23,18,text,3.60180724481575
23,Gen50_Ind5446,10111110001000,11,24,18,generic,3.60180724481575
24,Gen50_Ind5354,10111110001010,11,24,18,font,3.6006102559946624
25,Gen6_Ind639,10111110001011,11,24,18,font,3.6006102559946624
26,Gen9_Ind957,10111110001011,11,24,18,generic,3.6006102559946624
27,Gen50_Ind5382,10111101001010,11,23,18,font,3.6006102559946624
28,Gen50_Ind5384,10111110001010,11,24,18,font,3.6006102559946624
29,Gen50_Ind5391,10111110001011,11,24,18,text,3.6006102559946624
30,Gen49_Ind5269,10111101001010,11,23,18,font,3.6006102559946624
31,Gen50_Ind5432,10111110001010,11,24,18,font,3.6006102559946624
32,Gen50_Ind5438,10111101001010,11,23,18,font,3.6006102559946624
33,Gen50_Ind5441,10111110001010,11,24,18,font,3.6006102559946624
34,Gen50_Ind5374,10111101111101,11,23,17,text,3.5994434490333838
35,Gen50_Ind5376,10111110000100,11,24,17,generic,3.5994434490333838
36,Gen48_Ind5225,10111110000100,11,24,17,generic,3.5994434490333838
37,Gen50_Ind5350,10111101001111,11,23,19,generic,3.597884365130631
38,Gen50_Ind5395,10111110001100,11,24,19,generic,3.597884365130631
39,Gen50_Ind5434,10111101001100,11,23,19,generic,3.597884365130631
40,Gen50_Ind5346,10111110001110,11,24,19,font,3.5966764395067057
41,Gen50_Ind5419,10111110001111,11,24,19,text,3.5966764395067057
42,Gen50_Ind5364,10111110101101,11,24,16,text,3.596245395216107
43,Gen50_Ind5370,10111101111101,11,23,23,text,3.596245395216107
44,Gen7_Ind666,10111101111001,11,23,21,text,3.596245395216107
45,Gen49_Ind5293,10111101010111,11,23,21,text,3.596245395216107
46,Gen7_Ind666,10111101111001,11,23,23,text,3.596245395216107
47,Gen50_Ind5347,10111100001011,11,22,18,generic,3.5959926843117387
48,Gen50_Ind5411,10111100001011,11,22,18,font,3.5959926843117387
49,Gen50_Ind5424,10111100001010,11,22,18,font,3.5959926843117387
50,Gen50_Ind5342,10111100001011,11,22,18,text,3.595665566694689
51,Gen49_Ind5297,10111100001000,11,22,18,generic,3.595665566694689
52,Gen50_Ind5385,10111100001000,11,22,18,generic,3.595665566694689
