Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
1,Gen14_Ind1658,100001000000001001111110,268435456,4,0,0,1,bt3,64,1000,3.898111148653308
2,Gen15_Ind1752,100101000001011001110100,1073741824,4,0,2,1,bt3,273,200,3.898111148653308
3,Gen17_Ind2081,011101000000001001010101,67108864,4,0,0,1,bt3,64,500,3.898111148653308
4,Gen18_Ind2233,011011000001011001010100,33554432,4,0,2,1,bt3,64,200,3.898111148653308
5,Gen19_Ind2288,100011000000001001010110,536870912,4,0,0,1,bt3,64,1000,3.898111148653308
6,Gen20_Ind2430,100101000000001001111111,1073741824,4,0,0,1,bt3,16,200,3.898111148653308
7,Gen21_Ind2592,011101010000001001010101,67108864,3,0,0,1,bt3,64,500,3.898111148653308
8,Gen21_Ind2540,011101000000001001111100,67108864,4,0,0,1,bt3,32,200,3.898111148653308
9,Gen17_Ind2081,011101000000001001010101,67108864,4,0,0,1,bt3,64,500,3.898111148653308
10,Gen22_Ind2727,011111000000001001010101,134217728,4,0,0,1,bt3,64,500,3.898111148653308
11,Gen34_Ind4174,100011000000001001010110,536870912,4,0,0,1,bt3,64,1000,3.898111148653308
12,Gen34_Ind4181,011001010000001001010100,16777216,2,0,0,1,bt3,64,200,3.898111148653308
13,Gen34_Ind4213,011111000000001001010101,134217728,4,0,0,1,bt3,64,500,3.898111148653308
14,Gen34_Ind4253,011101000000001001010100,67108864,4,0,0,1,bt3,64,200,3.898111148653308
15,Gen33_Ind4124,100101000000001001011101,1073741824,4,0,0,1,bt3,128,500,3.897439278302895
16,Gen34_Ind4218,011111000000001001011110,134217728,4,0,0,1,bt3,128,1000,3.897439278302895
17,Gen34_Ind4257,100001010000001001011101,268435456,4,0,0,1,bt3,128,500,3.897439278302895
18,Gen33_Ind4070,011111000000001001111110,134217728,4,0,0,1,bt3,16,1000,3.8973855386800325
19,Gen34_Ind4228,100101000000001001110011,1073741824,4,0,0,1,bt3,32,100,3.8971705950074798
20,Gen34_Ind4270,100011010000001001011101,536870912,1,0,0,1,bt3,128,500,3.895948553608656
21,Gen34_Ind4268,100101000000101000110101,1073741824,4,0,2,1,bt2,273,500,3.8956263846824406
22,Gen34_Ind4278,011101110010001001010111,67108864,2,1,0,1,bt3,64,10,3.8956263846824406
23,Gen34_Ind4224,011101110010001001011100,67108864,4,1,0,1,bt3,128,200,3.89557269504157
24,Gen34_Ind4173,011101000000101001010101,67108864,4,0,2,1,bt3,64,500,3.8955592728625867
25,Gen34_Ind4240,011101000000101001010101,67108864,4,0,2,1,bt3,64,500,3.8955592728625867
26,Gen34_Ind4250,011111000000101001010101,134217728,4,0,2,1,bt3,64,500,3.8955592728625867
27,Gen34_Ind4235,011011000001011001010101,33554432,4,0,0,1,bt3,64,500,3.895210328670847
28,Gen34_Ind4169,110011010000011000110101,4194304,4,0,1,1,bt2,64,500,3.8949822066508886
29,Gen34_Ind4267,011011000001011000011110,33554432,4,0,2,1,bt2,128,1000,3.894660197519127
30,Gen34_Ind4256,100001000001101001111101,268435456,4,0,3,1,bt3,64,500,3.8936944895014345
31,Gen34_Ind4178,100001010000101000111010,268435456,3,0,2,1,bt2,128,50,3.8931179755936314
32,Gen34_Ind4264,100011010000101001010111,536870912,4,0,2,1,bt3,64,100,3.8929571184596528
33,Gen34_Ind4176,100011000001001001010100,536870912,4,0,4,1,bt3,64,200,3.8927024551811518
34,Gen34_Ind4188,100101000001001001110101,1073741824,4,0,4,1,bt3,32,500,3.8927024551811518
35,Gen34_Ind4272,111011000001011001010100,1048576,4,0,2,1,bt3,64,200,3.8927024551811518
36,Gen33_Ind4117,011101110000001001010111,67108864,0,0,0,1,bt3,64,10,3.8917779055198336
37,Gen33_Ind4117,011101110000001001010111,67108864,1,0,0,1,bt3,64,50,3.8917779055198336
38,Gen34_Ind4180,110011010000001001010111,67108864,3,0,0,1,bt3,64,100,3.8917779055198336
39,Gen34_Ind4189,100010000000001001010111,536870912,0,0,0,1,bt3,64,0,3.8917779055198336
40,Gen34_Ind4185,100100000000001101010101,1073741824,0,0,0,1,hc4,64,500,3.891523396492677
41,Gen21_Ind2540,011101000000001001111100,67108864,4,0,0,1,bt3,16,200,3.8911751749202406
42,Gen34_Ind4196,110101000000001001111110,8192,4,0,0,1,bt3,32,1000,3.8911483912266873
43,Gen34_Ind4245,011111010000001001101101,134217728,1,0,0,1,bt3,273,500,3.8911483912266873
44,Gen20_Ind2430,100101000000001001111111,1073741824,4,0,0,1,bt3,273,10,3.8909743062056052
45,Gen34_Ind4219,011100110001001001011111,67108864,3,0,4,1,bt3,128,500,3.8907734582282316
46,Gen34_Ind4162,011101010100001001010101,67108864,3,2,0,1,bt3,64,500,3.8907199022694816
47,Gen34_Ind4251,011101100000011001010111,67108864,1,0,1,1,bt3,64,200,3.890438757673356
