Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen50_Ind6853,1101001100011010110001010111001111,-37,27,27,23,6,6,8192,1,3.8825365074731937
2,Gen25_Ind3453,0111111011101001110101011010001111,13,24,25,27,7,5,8192,3,3.659248908494807
3,Gen25_Ind3453,0111111011101001110101011010001111,13,24,25,27,7,5,8192,5,3.659248908494807
4,Gen45_Ind6165,0111111111101000110101011010001111,13,29,23,27,7,5,8192,4,3.6590742309462954
5,Gen35_Ind4743,1100001100011010110001101011101111,2,27,27,23,5,6,131072,3,3.6588226061686724
6,Gen49_Ind6634,0111111011101001110101011011001111,13,24,25,27,7,6,8192,3,3.658810765855269
7,Gen15_Ind1947,1101001100011010110001101011001111,-33,27,27,23,4,6,8192,3,3.6545798056868475
8,Gen30_Ind4028,0111111011101001110101111010001111,13,24,25,27,9,5,8192,4,3.651042314194235
9,Gen51_Ind6971,1101011011111010010110101111001000,15,25,26,28,2,6,8192,0,3.6266884468694567
10,Gen5_Ind594,0111100011100001110111111011011101,10,24,9,29,8,6,32768,5,3.576129536292714
11,Gen52_Ind7011,0111100011111010010111011111000000,10,25,26,29,8,6,4096,0,3.576129536292714
12,Gen52_Ind7085,0111100011110010010111100011101000,10,25,10,29,9,6,131072,0,3.576129536292714
13,Gen8_Ind1067,0111100011100001110111111111011101,10,24,9,29,9,6,32768,5,3.576129536292714
14,Gen8_Ind1067,0111100011100001110111111111011101,10,24,9,29,4,6,32768,5,3.576129536292714
15,Gen52_Ind7068,1001001011110010110110100111001111,-10,25,11,28,10,6,8192,1,3.57605601505543
16,Gen52_Ind7027,1110001011100010110011011111001101,-9,24,11,25,8,6,8192,5,3.575371846988937
17,Gen51_Ind6943,1100111100101001110011100011101101,-41,28,25,25,9,6,131072,5,3.575371846988937
18,Gen52_Ind7056,0110101011001001110111111011001110,3,22,25,29,3,6,8192,2,3.575004426765489
19,Gen52_Ind7067,1111001100011010110001010111001111,-15,27,27,23,6,6,8192,0,3.571633341915266
20,Gen52_Ind7104,1101001101010111010001111011001101,14,10,20,23,4,6,8192,5,3.571633341915266
