Rank,Individual,Gene1,quality_Gene1,lgwin_Gene1,lgblock_Gene1,mode_Gene1,Fitness
1,Gen7_Ind673,10111101001001,11,23,18,text,3.915186873006694
2,Gen7_Ind723,10111101110000,11,23,20,generic,3.915186873006694
3,Gen8_Ind870,10111101110000,11,23,17,generic,3.915186873006694
4,Gen8_Ind890,10111101001001,11,23,18,text,3.915186873006694
5,Gen9_Ind904,10111101001000,11,23,18,generic,3.915186873006694
6,Gen9_Ind906,10111101001001,11,23,18,text,3.915186873006694
7,Gen9_Ind960,10111101001001,11,23,18,text,3.915186873006694
8,Gen9_Ind973,10111110001000,11,24,18,generic,3.915186873006694
9,Gen9_Ind981,10111101110000,11,23,24,generic,3.915186873006694
10,Gen10_Ind1049,10111110001011,11,24,18,text,3.915186873006694
11,Gen9_Ind973,10111110001000,11,24,18,generic,3.915186873006694
12,Gen60_Ind6511,10111101001001,11,23,18,text,3.915186873006694
13,Gen60_Ind6513,10111101001000,11,23,18,generic,3.915186873006694
14,Gen59_Ind6418,10111101001001,11,23,18,text,3.915186873006694
15,Gen60_Ind6525,10111110001001,11,24,18,text,3.915186873006694
16,Gen60_Ind6527,10111101001000,11,23,18,generic,3.915186873006694
17,Gen59_Ind6432,10111101001001,11,23,18,text,3.915186873006694
18,Gen60_Ind6538,10111110001001,11,24,18,text,3.915186873006694
19,Gen60_Ind6540,10111101001000,11,23,18,generic,3.915186873006694
20,Gen60_Ind6551,10111101001011,11,23,18,text,3.915186873006694
21,Gen9_Ind973,10111110001000,11,24,18,generic,3.915186873006694
22,Gen60_Ind6561,10111101001000,11,23,18,generic,3.915186873006694
23,Gen60_Ind6568,10111110001011,11,24,18,text,3.915186873006694
24,Gen60_Ind6571,10111101001001,11,23,18,text,3.915186873006694
25,Gen60_Ind6578,10111101001000,11,23,18,generic,3.915186873006694
26,Gen59_Ind6406,10111101001000,11,23,18,generic,3.915186873006694
27,Gen60_Ind6593,10111101001000,11,23,18,generic,3.915186873006694
28,Gen60_Ind6594,10111110001001,11,24,18,text,3.915186873006694
29,Gen60_Ind6600,10111110001011,11,24,18,font,3.915186873006694
30,Gen60_Ind6603,10111101001000,11,23,18,generic,3.915186873006694
31,Gen60_Ind6604,10111101001001,11,23,18,text,3.915186873006694
32,Gen60_Ind6606,10111101001000,11,23,18,generic,3.915186873006694
33,Gen60_Ind6612,10111110001001,11,24,18,text,3.915186873006694
