Rank,Individual,Gene1,quality_Gene1,lgwin_Gene1,lgblock_Gene1,mode_Gene1,Fitness
1,Gen5_Ind492,10111110001001,11,24,18,text,3.868308187333046
2,Gen5_Ind492,10111110001001,11,24,18,text,3.868308187333046
3,Gen7_Ind719,10111110110011,11,24,22,font,3.868308187333046
4,Gen7_Ind736,10111110001001,11,24,18,text,3.868308187333046
5,Gen5_Ind492,10111110001001,11,24,18,text,3.868308187333046
6,Gen7_Ind736,10111110001001,11,24,18,text,3.868308187333046
7,Gen8_Ind812,10111110110000,11,24,17,generic,3.868308187333046
8,Gen8_Ind844,10111110001001,11,24,18,text,3.868308187333046
9,Gen8_Ind875,10111110001000,11,24,18,generic,3.868308187333046
10,Gen9_Ind931,10111110001001,11,24,18,text,3.868308187333046
11,Gen11_Ind1115,10111110001000,11,24,18,generic,3.868308187333046
12,Gen11_Ind1119,10111110001001,11,24,18,text,3.868308187333046
13,Gen11_Ind1129,10111110001001,11,24,18,text,3.868308187333046
14,Gen11_Ind1132,10111110001001,11,24,18,text,3.868308187333046
15,Gen11_Ind1150,10111110001001,11,24,18,text,3.868308187333046
16,Gen11_Ind1158,10111110101000,11,24,20,generic,3.868308187333046
17,Gen10_Ind1108,10111110001001,11,24,18,text,3.868308187333046
18,Gen11_Ind1185,10111110001001,11,24,18,text,3.868308187333046
19,Gen11_Ind1194,10111110001001,11,24,18,text,3.868308187333046
20,Gen10_Ind1019,10111110001001,11,24,18,text,3.868308187333046
21,Gen11_Ind1211,10111110001011,11,24,18,font,3.8678305930279944
22,Gen11_Ind1224,10111110001010,11,24,18,font,3.8678305930279944
23,Gen7_Ind766,10111110000101,11,24,17,text,3.866420717518444
24,Gen11_Ind1140,10111110001101,11,24,19,text,3.864763408633916
25,Gen11_Ind1159,10111110001101,11,24,19,text,3.864763408633916
26,Gen11_Ind1143,10111110011001,11,24,22,text,3.8631425193161344
27,Gen11_Ind1181,10111110011001,11,24,22,text,3.8631425193161344
28,Gen11_Ind1205,10111110011000,11,24,22,generic,3.8631425193161344
29,Gen11_Ind1207,10111110011001,11,24,22,text,3.8631425193161344
30,Gen11_Ind1130,10111110010001,11,24,20,text,3.862307116089892
31,Gen11_Ind1133,10111110010001,11,24,20,text,3.862307116089892
32,Gen11_Ind1138,10111110010000,11,24,20,generic,3.862307116089892
33,Gen11_Ind1170,10111110110000,11,24,17,generic,3.862307116089892
34,Gen9_Ind952,10111110010000,11,24,20,generic,3.862307116089892
35,Gen11_Ind1209,10111110110101,11,24,21,text,3.862307116089892
36,Gen11_Ind1215,10111110010000,11,24,20,generic,3.862307116089892
37,Gen11_Ind1219,10111110110001,11,24,20,text,3.862307116089892
38,Gen11_Ind1139,10111110111000,11,24,19,generic,3.8622451822970483
39,Gen11_Ind1153,10111110000001,11,24,16,text,3.8622451822970483
40,Gen11_Ind1189,10111110000000,11,24,16,generic,3.8622451822970483
41,Gen9_Ind993,10111110000000,11,24,16,generic,3.8622451822970483
42,Gen10_Ind1034,10111110010010,11,24,20,font,3.861891480124252
43,Gen11_Ind1226,10111110010010,11,24,20,font,3.861891480124252
44,Gen11_Ind1183,10111110110011,11,24,23,generic,3.8613288878994863
45,Gen11_Ind1111,10111110101000,11,24,22,generic,3.857233304656252
46,Gen11_Ind1109,10111101001001,11,23,18,text,3.8025107146006887
47,Gen11_Ind1112,10111101001001,11,23,18,text,3.8025107146006887
48,Gen11_Ind1184,10111101001000,11,23,18,generic,3.8025107146006887
49,Gen10_Ind1046,10111101001001,11,23,18,text,3.8025107146006887
50,Gen11_Ind1222,10111101001101,11,23,19,text,3.7983870170064327
51,Gen11_Ind1113,10111101010101,11,23,21,text,3.7970388011876905
52,Gen11_Ind1123,10111101010110,11,23,21,font,3.796597070379607
53,Gen11_Ind1206,10111101011001,11,23,22,text,3.796499579311673
54,Gen11_Ind1122,10111101010001,11,23,20,text,3.7958998951593834
55,Gen11_Ind1160,10111101010001,11,23,20,text,3.7958998951593834
56,Gen11_Ind1173,10111101101101,11,23,20,text,3.7958998951593834
57,Gen10_Ind1072,10111101010001,11,23,20,text,3.7958998951593834
58,Gen11_Ind1136,10101110010011,10,24,20,font,3.753784713077191
59,Gen11_Ind1200,10101110010001,10,24,20,text,3.7533536881706118
60,Gen11_Ind1116,10111100101001,11,22,17,text,3.736153232739994
61,Gen11_Ind1182,10111100001000,11,22,18,generic,3.736153232739994
62,Gen11_Ind1191,10111100001000,11,22,18,generic,3.736153232739994
63,Gen10_Ind1048,10111100001000,11,22,18,generic,3.736153232739994
64,Gen11_Ind1137,10111100000101,11,22,17,text,3.73508192122922
65,Gen11_Ind1196,10111100010000,11,22,20,generic,3.729205853950182
66,Gen11_Ind1198,10111111010001,11,21,20,text,3.729205853950182
67,Gen11_Ind1168,10111100101001,11,22,24,text,3.729024135787103
68,Gen11_Ind1221,10111100011000,11,22,22,generic,3.729024135787103
69,Gen11_Ind1126,10111100011011,11,22,22,generic,3.72856021307972
70,Gen11_Ind1151,10111011110000,11,21,17,generic,3.663101316654183
71,Gen11_Ind1217,10101100110001,10,22,18,text,3.6259995158642804
72,Gen11_Ind1148,10111010010001,11,20,20,text,3.598525229986563
73,Gen11_Ind1204,10111010111000,11,20,23,generic,3.598525229986563
74,Gen11_Ind1127,10111010110011,11,20,20,generic,3.566004944886633
75,Gen11_Ind1171,10111111001001,11,24,18,text,3.548755817018228
76,Gen11_Ind1154,10111001001101,11,19,19,text,3.542883597991175
77,Gen11_Ind1144,10101010010101,10,20,21,text,3.5027363753740173
78,Gen11_Ind1225,10111000010000,11,18,20,generic,3.4812777421814918
79,Gen11_Ind1214,10011110010000,9,24,20,generic,3.408847389615001
80,Gen11_Ind1163,10011110000101,9,24,17,text,3.408703783491708
81,Gen11_Ind1142,10111111000001,11,21,16,text,3.4029117675973914
82,Gen11_Ind1210,11101110101001,2,24,21,text,3.3541003456590643
83,Gen10_Ind1038,10001110001001,8,24,18,text,3.354031078945899
84,Gen11_Ind1180,10110110011000,11,16,22,generic,3.333452707482307
85,Gen11_Ind1213,11111110010000,5,24,20,generic,3.296193595719023
86,Gen11_Ind1165,11111101010011,4,23,20,generic,3.295471975917385
87,Gen11_Ind1164,10111111001001,11,14,18,text,3.250540832377045
88,Gen11_Ind1177,10110101001001,11,15,18,text,3.250540832377045
89,Gen11_Ind1192,10110100010011,11,14,20,text,3.173988163736186
90,Gen11_Ind1176,00111000010011,3,18,20,generic,2.800314759590844
91,Gen11_Ind1167,11111110001001,10,24,18,text,2.795418163314268
92,Gen11_Ind1172,00111110000000,3,24,16,generic,2.795418163314268
93,Gen11_Ind1195,00111110000001,3,24,16,text,2.795418163314268
94,Gen11_Ind1147,00111101011000,3,23,22,generic,2.7953580165094523
95,Gen11_Ind1157,00111101001001,3,23,18,text,2.7953580165094523
96,Gen11_Ind1199,00101110010000,2,24,20,generic,2.7717633090902045
97,Gen11_Ind1218,11111101001000,3,23,18,generic,2.771573866804072
98,Gen11_Ind1202,00011110111001,1,24,16,text,2.6929616783076558
99,Gen11_Ind1188,11111100010000,0,22,20,generic,2.6897448489342466
100,Gen11_Ind1120,11111110101000,9,24,22,generic,2.4766551109481076
