Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
1,Gen1_Ind37,011110100100111010011100,134217728,2,2,3,1,bt4,128,200,4.090942050547649
2,Gen1_Ind30,011110001000001000100000,134217728,0,4,0,1,bt2,273,0,4.086067152062591
3,Gen1_Ind50,011001000000111001100110,16777216,4,0,3,1,bt3,273,1000,3.8953135143604105
4,Gen1_Ind35,010110010001001010100100,8388608,1,0,4,1,bt4,273,200,3.8204604669911695
5,Gen1_Ind40,010110010100111010100110,8388608,1,2,3,1,bt4,273,1000,3.8203030967095986
6,Gen1_Ind9,011010110000101000000100,33554432,3,0,2,1,bt2,16,200,3.714097830383242
7,Gen1_Ind73,100001000000100001100101,268435456,4,0,2,0,bt3,273,500,3.707439609392702
8,Gen1_Ind18,011110100100110001010010,134217728,2,2,3,0,bt3,64,50,3.6685822430714383
9,Gen1_Ind66,010110010110011011010110,8388608,1,3,1,1,hc3,64,1000,3.6238363343816746
10,Gen1_Ind82,011000010100001100001100,16777216,1,2,0,1,hc4,32,200,3.6161216789985335
11,Gen1_Ind49,100010010100011100001011,536870912,1,2,1,1,hc4,32,100,3.576143080113136
12,Gen1_Ind15,011010010001000010011101,33554432,1,0,4,0,bt4,128,500,3.563163515577672
13,Gen1_Ind22,100000100100110000001000,268435456,2,2,3,0,bt2,32,0,3.548895594615115
14,Gen1_Ind99,011010001001000000000010,33554432,0,4,4,0,bt2,16,50,3.538661392385037
15,Gen1_Ind44,001110010001001000010000,524288,1,0,4,1,bt2,64,0,3.5316524740915947
16,Gen1_Ind17,011000100000000010001010,16777216,2,0,0,0,bt4,32,50,3.5152425412153403
17,Gen1_Ind62,011000010001000000011110,16777216,1,0,4,0,bt2,128,1000,3.5114547798137594
18,Gen1_Ind74,001110000000101000000110,524288,0,0,2,1,bt2,16,1000,3.4795766535575665
19,Gen1_Ind32,011010000010111100011010,33554432,0,1,3,1,hc4,128,50,3.4605738719804084
20,Gen1_Ind59,010110100100011011100100,8388608,2,2,1,1,hc3,273,200,3.4470876988889994
21,Gen1_Ind14,011010000100011011100100,33554432,0,2,1,1,hc3,273,200,3.4465241167431837
22,Gen1_Ind63,001100010101001000010000,262144,1,2,4,1,bt2,64,0,3.440893213992141
23,Gen1_Ind78,010110110010011100000010,8388608,3,1,1,1,hc4,16,50,3.4177966518803067
24,Gen1_Ind85,001010000000101010010011,131072,0,0,2,1,bt4,64,100,3.330120644752337
25,Gen1_Ind33,010010000110010100001101,2097152,0,3,1,0,hc4,32,500,3.2948958782617632
26,Gen1_Ind48,011000000101000011000110,16777216,0,2,4,0,hc3,16,1000,3.2638527907942168
27,Gen1_Ind16,001110100010010010100101,524288,2,1,1,0,bt4,273,500,3.256388489077801
28,Gen1_Ind53,010000110010100011100110,1048576,3,1,2,0,hc3,273,1000,3.2553052670797786
29,Gen1_Ind88,001110001001000001001010,524288,0,4,4,0,bt3,32,50,3.2497550367889185
30,Gen1_Ind39,010000100010001011100010,1048576,2,1,0,1,hc3,273,50,3.2373391037230927
31,Gen1_Ind52,010010001000001011001010,2097152,0,4,0,1,hc3,32,50,3.2324450170044505
32,Gen1_Ind41,001110010100000100100101,524288,1,2,0,0,hc4,273,500,3.227796245926062
33,Gen1_Ind43,001000110001001000011011,65536,3,0,4,1,bt2,128,100,3.203400468167376
34,Gen1_Ind89,001100100100100001011101,262144,2,2,2,0,bt3,128,500,3.1889396790168556
35,Gen1_Ind29,010110110000010010011001,8388608,3,0,1,0,bt4,128,10,3.1859481648243264
36,Gen1_Ind75,001100010010110011010110,262144,1,1,3,0,hc3,64,1000,3.1679781545051013
37,Gen1_Ind36,001010010011001011011010,131072,1,1,4,1,hc3,128,50,3.1578019090633846
38,Gen1_Ind60,001010000010000000100000,131072,0,1,0,0,bt2,273,0,3.097340038222057
39,Gen1_Ind70,001010110010010010000011,131072,3,1,1,0,bt4,16,100,3.0972501456712473
40,Gen1_Ind58,001010010100100010010000,131072,1,2,2,0,bt4,64,0,3.0961180065800007
41,Gen1_Ind56,000110000110011000011000,32768,0,3,1,1,bt2,128,0,3.047641055869107
42,Gen1_Ind31,001000110010110000000101,65536,3,1,3,0,bt2,16,500,2.9893395227750426
43,Gen1_Ind34,011001000000011000001001,16777216,4,0,1,1,bt2,32,10,2.9799700585506095
44,Gen1_Ind24,001000001000110011100101,65536,0,4,3,0,hc3,273,500,2.9797153385713746
45,Gen1_Ind68,011100010110111000001001,67108864,1,3,3,1,bt2,32,10,2.965169726220283
46,Gen1_Ind61,001100100010111011011001,262144,2,1,3,1,hc3,128,10,2.934774118687626
47,Gen1_Ind51,001010010110101011000001,131072,1,3,2,1,hc3,16,10,2.904997558007648
48,Gen1_Ind26,000100000000101011001101,16384,0,0,2,1,hc3,32,500,2.894011465980184
49,Gen1_Ind96,001000000110001011100001,65536,0,3,0,1,hc3,273,10,2.8832820266597903
50,Gen1_Ind12,010010110000000011011001,2097152,3,0,0,0,hc3,128,10,2.7595284738009447
51,Gen1_Ind76,000100100000100000100101,16384,2,0,2,0,bt2,273,500,2.74069293124266
52,Gen1_Ind47,000100100100110000100011,16384,2,2,3,0,bt2,273,100,2.740018392363838
53,Gen1_Ind93,000010010110011000010100,8192,1,3,1,1,bt2,64,200,2.7398412719970957
54,Gen1_Ind83,000010010111001100001110,8192,1,3,4,1,hc4,32,1000,2.739246563228247
55,Gen1_Ind5,000100010100000010100000,16384,1,2,0,0,bt4,273,0,2.736033469799043
56,Gen1_Ind77,000100010100010001001010,16384,1,2,1,0,bt3,32,50,2.73546201094223
57,Gen1_Ind10,011000000110110011000000,16777216,0,3,3,0,hc3,16,0,2.7134164781343895
58,Gen1_Ind11,000010110011000001010010,8192,3,1,4,0,bt3,64,50,2.6103053257673006
59,Gen1_Ind80,000010110001000011001011,8192,3,0,4,0,hc3,32,100,2.6070469967003
60,Gen1_Ind45,000000000100010100010110,4096,0,2,1,0,hc4,64,1000,2.4780317171455715
61,Gen1_Ind79,000000000010110010001001,4096,0,1,3,0,bt4,32,10,2.4767834772971007
62,Gen1_Ind97,000000010110100000010001,4096,1,3,2,0,bt2,64,10,2.464425852633975
